grp,item,val
Group-1,Item 1-01,101
Group-1,Item 1-02,102
Group-1,Item 1-03,103
Group-1,Item 1-04,104
Group-1,Item 1-05,105
Group-1,Item 1-06,106
Group-1,Item 1-07,107
Group-1,Item 1-08,108
Group-1,Item 1-09,109
Group-1,Item 1-10,110
Group-1,Item 1-11,111
Group-1,Item 1-12,112
Group-1,Item 1-13,113
Group-1,Item 1-14,114
Group-1,Item 1-15,115
Group-1,Item 1-16,116
Group-1,Item 1-17,117
Group-1,Item 1-18,118
Group-1,Item 1-19,119
Group-1,Item 1-20,120
Group-1,Item 1-21,121
Group-1,Item 1-22,122
Group-1,Item 1-23,123
Group-1,Item 1-24,124
Group-1,Item 1-25,125
Group-1,Item 1-26,126
Group-1,Item 1-27,127
Group-1,Item 1-28,128
Group-1,Item 1-29,129
Group-1,Item 1-30,130
Group-2,Item 2-01,201
Group-2,Item 2-02,202
Group-2,Item 2-03,203
Group-2,Item 2-04,204
Group-2,Item 2-05,205
Group-2,Item 2-06,206
Group-2,Item 2-07,207
Group-2,Item 2-08,208
Group-2,Item 2-09,209
Group-2,Item 2-10,210
Group-2,Item 2-11,211
Group-2,Item 2-12,212
Group-2,Item 2-13,213
Group-2,Item 2-14,214
Group-2,Item 2-15,215
Group-2,Item 2-16,216
Group-2,Item 2-17,217
Group-2,Item 2-18,218
Group-2,Item 2-19,219
Group-2,Item 2-20,220
Group-2,Item 2-21,221
Group-2,Item 2-22,222
Group-2,Item 2-23,223
Group-2,Item 2-24,224
Group-2,Item 2-25,225
Group-2,Item 2-26,226
Group-2,Item 2-27,227
Group-2,Item 2-28,228
Group-2,Item 2-29,229
Group-2,Item 2-30,230
Group-3,Item 3-01,301
Group-3,Item 3-02,302
Group-3,Item 3-03,303
Group-3,Item 3-04,304
Group-3,Item 3-05,305
Group-3,Item 3-06,306
Group-3,Item 3-07,307
Group-3,Item 3-08,308
Group-3,Item 3-09,309
Group-3,Item 3-10,310
Group-3,Item 3-11,311
Group-3,Item 3-12,312
Group-3,Item 3-13,313
Group-3,Item 3-14,314
Group-3,Item 3-15,315
Group-3,Item 3-16,316
Group-3,Item 3-17,317
Group-3,Item 3-18,318
Group-3,Item 3-19,319
Group-3,Item 3-20,320
Group-3,Item 3-21,321
Group-3,Item 3-22,322
Group-3,Item 3-23,323
Group-3,Item 3-24,324
Group-3,Item 3-25,325
Group-3,Item 3-26,326
Group-3,Item 3-27,327
Group-3,Item 3-28,328
Group-3,Item 3-29,329
Group-3,Item 3-30,330
